index	Region	Practice	Efficacy	Year of adoption	ACDNB	Last profitable year	Age adoption pays off	Breakeven probability
ccDBP50y1	Central Coast	Double Pruning	50.0	10.0	$14,318	16	11	0.201
ccDBP75y3	Central Coast	Double Pruning	75.0	3.0	$57,137	25	10	0.092
ccDBP75y5	Central Coast	Double Pruning	75.0	5.0	$54,608	25	9	0.086
ccDBP75y1	Central Coast	Double Pruning	75.0	10.0	$32,818	23	10	0.099
ccHP25y3	Central Coast	Hand painted Topsin	25.0	3.0	$16,401	16	9	0.134
ccHP25y5	Central Coast	Hand painted Topsin	25.0	5.0	$13,116	15	9	0.146
ccHP25y10	Central Coast	Hand painted Topsin	25.0	10.0	$4,978	13	10	0.24
ccHP50y3	Central Coast	Hand painted Topsin	50.0	3.0	$43,937	23	8	0.054
ccHP50y5	Central Coast	Hand painted Topsin	50.0	5.0	$37,048	21	8	0.057
ccHP50y10	Central Coast	Hand painted Topsin	50.0	10.0	$16,342	16	10	0.088
ccHP75y3	Central Coast	Hand painted Topsin	75.0	3.0	$60,396	25	8	0.04
ccHP75y5	Central Coast	Hand painted Topsin	75.0	5.0	$57,487	25	8	0.037
ccHP75y10	Central Coast	Hand painted Topsin	75.0	10.0	$34,842	23	10	0.043
lakeDP25y3	Lake	Delayed Pruning	25.0	3.0	$12,993	17	3.0	0.0
lakeDP25y5	Lake	Delayed Pruning	25.0	5.0	$10,534	16	5.0	0.0
lakeDP25y10	Lake	Delayed Pruning	25.0	10.0	$4,494	14	10.0	0.0
lakeDP50y3	Lake	Delayed Pruning	50.0	3.0	$31,892	24	3.0	0.0
lakeDP50y5	Lake	Delayed Pruning	50.0	5.0	$26,960	22	5.0	0.0
lakeDP50y10	Lake	Delayed Pruning	50.0	10.0	$12,293	17	10.0	0.0
lakeDP75y3	Lake	Delayed Pruning	75.0	3.0	$43,189	25	3.0	0.0
lakeDP75y5	Lake	Delayed Pruning	75.0	5.0	$40,988	25	5.0	0.0
lakeDP75y10	Lake	Delayed Pruning	75.0	10.0	$24,990	25	10.0	0.0
lakeDBP25y3	Lake	Double Pruning	25.0	3.0	$8,761	16	10	0.234
lakeDBP25y5	Lake	Double Pruning	25.0	5.0	$6,795	16	10	0.255
lakeDBP25y1	Lake	Double Pruning	25.0	10.0	$1,866	14	11	0.421
lakeDBP50y3	Lake	Double Pruning	50.0	3.0	$27,660	24	10	0.095
lakeDBP50y5	Lake	Double Pruning	50.0	5.0	$23,221	22	9	0.1
lakeDBP50y1	Lake	Double Pruning	50.0	10.0	$9,665	17	10	0.154
lakeDBP75y3	Lake	Double Pruning	75.0	3.0	$38,957	25	9	0.071
lakeDBP75y5	Lake	Double Pruning	75.0	5.0	$37,249	25	9	0.066
lakeDBP75y1	Lake	Double Pruning	75.0	10.0	$22,362	25	10	0.076
lakeHP25y3	Lake	Hand painted Topsin	25.0	3.0	$11,621	17	7	0.047
lakeHP25y5	Lake	Hand painted Topsin	25.0	5.0	$9,322	16	7	0.051
lakeHP25y10	Lake	Hand painted Topsin	25.0	10.0	$3,642	14	10	0.084
lakeHP50y3	Lake	Hand painted Topsin	50.0	3.0	$30,520	24	6	0.019
lakeHP50y5	Lake	Hand painted Topsin	50.0	5.0	$25,747	22	6	0.02
lakeHP50y10	Lake	Hand painted Topsin	50.0	10.0	$11,441	17	10	0.031
lakeHP75y3	Lake	Hand painted Topsin	75.0	3.0	$41,817	25	6	0.014
lakeHP75y5	Lake	Hand painted Topsin	75.0	5.0	$39,776	25	6	0.013
lakeHP75y10	Lake	Hand painted Topsin	75.0	10.0	$24,138	25	10	0.015
sonomaDP25y3	Sonoma	Delayed Pruning	25.0	3.0	$23,539	16	3.0	0.0
sonomaDP25y5	Sonoma	Delayed Pruning	25.0	5.0	$19,087	15	5.0	0.0
